# mo day year attendance code
# code: 0 = lecture, 2 = AoT, 3 = Other, 4 = Guerilla, 5 = Foreign Language
03 24 2011   20 3
09 20 2011  500 3
12 10 2011   20 3
03 15 2012   30 3
05 20 2012  600 3
06 05 2012 1800 3
03 15 2013   20 3
07 19 2013  100 0
02 01 2014  500 3
02 19 2016   90	0
03 18 2016  100	0
04 15 2016   80	0
05 13 2016  120	0
06 10 2016  100	0
06 20 2016   70	2
07 08 2016  150	0
07 25 2016  110	2
08 12 2016  115 0
08 22 2016  115 2
09 09 2016   70 0
09 26 2016   90 2
10 07 2016  120 0
10 17 2016  130 2
10 18 2016  100 2
10 19 2016  125 2
10 22 2016 1000 3
11 04 2016   75 0
11 21 2016   55 2
12 09 2016   90 0
12 12 2016   65 2
01 13 2017   50 0
01 23 2017  120 2
02 03 2017  140 0
02 13 2017  100 2
03 03 2017  140 0
03 13 2017  115 2
03 31 2017  100 0
04 17 2017   75 2
05 05 2017  115 0
05 15 2017  100 2
06 02 2017  120 0
06 12 2017   95 2
07 03 2017  110 2
07 14 2017  140 0
07 31 2017  100 2
08 11 2017  200 0
08 19 2017  300 4
08 21 2017 3000 3
09 11 2017  120 2
09 22 2017  130 0
09 23 2017  30  4 
09 29 2017  250 4
10 09 2017  160 2
10 20 2017  150 0
10 23 2017  130 2
10 27 2017  250 4
11 06 2017  120 2
11 17 2017  130 0
12 04 2017   90 2
12 08 2017  100 0
01 15 2018  160 2
01 26 2018  160 0
02 12 2018  140 2
02 17 2018   70 4
02 23 2018  130 0
02 24 2018  230 4
03 19 2018  140 2
03 23 2018  160 0
03 28 2018   50 3
03 31 2018  500 3
04 09 2018   90 2
04 20 2018  150 0
05 07 2018  135 2
05 25 2018  125 0
06 04 2018  100 2
06 22 2018  180 0
07 14 2018 2500 3
07 16 2018  200 2
07 17 2018  220 2
07 20 2018  185 0
08 06 2018  200 2
08 17 2018  180 0
08 24 2018  220 4
08 27 2018  100 2
09 14 2018  150 0
10 01 2018  110 2
10 12 2018  130 0 
10 19 2018  200 4
11 05 2018  180 2
11 16 2018  180 0
12 03 2018  140 2
12 14 2018  120 0
01 20 2019  450 3
01 28 2019  120 2
02 15 2019   90 0
02 25 2019   80 5
03 01 2019  130 0
03 15 2019  250 0
03 16 2019 2500 3
03 25 2019  200 2
04 12 2019  225 0
04 13 2019  120 4
04 18 2019  170 3
04 22 2019  115 2
04 24 2019  100 2
05 10 2019  180 0
05 20 2019  175 2
06 07 2019  210 0
06 17 2019  200 2
06 24 2019   90 2
07 12 2019  110 0
07 22 2019  200 2
08 09 2019  200 0
08 19 2019  150 2
09 06 2019  200 0
09 16 2019  100 2
09 23 2019   50 3
09 25 2019   35 3
10 04 2019  180 0
10 21 2019  110 2
11 01 2019  130 0
11 11 2019  500 3
11 18 2019  150 2
12 06 2019  160 0
12 16 2019  100 2
01 20 2020  150 2
01 22 2020  120 3
01 31 2020  150 0
02 10 2020  160 2
02 14 2020  120 0
02 21 2020  200 3
02 27 2020  100 3
02 28 2020  100 5
03 09 2020  160 2
03 27 2020  120 0
04 09 2020  400 2
04 10 2020   90 0
04 20 2020   90 2
05 08 2020  110 0
05 18 2020  125 2
06 12 2020   90 0
06 22 2020   80 2
07 10 2020   60 0
07 20 2020   80 2
08 07 2020  110 0
08 17 2020  100 2
09 04 2020  230 0
09 28 2020  290 2
10 09 2020  100 0
10 19 2020   70 2
11 06 2020  180 0
11 16 2020   60 2
12 04 2020   70 0
12 14 2020   60 2
01 11 2021   90 2
01 29 2021   50 0
02 08 2021   90 2
02 25 2021   80 0
03 15 2021   80 2
03 26 2021  100 0
03 29 2021  120 5
04 16 2021   90 0
04 26 2021   90 2
05 10 2021  110 2
05 17 2021   30 5
05 21 2021   70 0
06 07 2021  100 2
06 14 2021  100 5
06 25 2021   60 0
10 15 2021   60 0
10 18 2021  220 5
10 25 2021   60 2
11 01 2021   20 5
11 08 2021   50 2
11 19 2021   60 0
12 06 2021   80 2
12 10 2021   80 0
01 14 2022   70 0
01 24 2022  100 2
02 04 2022   60 0
02 18 2022  100 5
02 26 2022 3400 3
02 28 2022   60 2
03 04 2022   60 0
03 07 2022   50 3
03 09 2022   40 3
03 14 2022   60 2
04 08 2022  150 0
04 25 2022   90 2
04 27 2022  200 3
05 13 2022   60 0
05 23 2022  100 2
06 03 2022   70 0
06 11 2022  400 3
06 13 2022  175 2
06 15 2022  200 2
06 17 2022  100 3
06 22 2022  125 2
07 08 2022  190 5
07 11 2022  180 2
07 15 2022  130 0
08 05 2022  135 0
08 22 2022   40 5
09 24 2022  250 3
09 26 2022   90 2
09 30 2022  140 0
10 17 2022  110 2
10 20 2022  250 3
10 28 2022   70 0
11 11 2022   90 5
11 14 2022  120 2
11 18 2022  200 4
