# mo day year attendance code
# code: 0 = lecture, 3 = other
02 23 2007  100	0
02 27 2007  20	3
03 03 2007  200	0
03 24 2007  30	3
04 20 2007  40	0
05 07 2007  20	3
05 17 2007  20	3
05 24 2007  4	3
05 25 2007  8	3
06 22 2007  40	0
10 12 2007  40	0
10 19 2007  15	0
10 20 2007  100	3
10 30 2007  60	3
11 02 2007  25	0
11 08 2007  60	3
11 16 2007  30	0
11 30 2007  40	0
12 06 2007  10	3
12 13 2007  60	3
12 14 2007  30	0
01 18 2008  20	3
02 01 2008  16	0
02 15 2008  40	0
02 20 2008  400	3
02 29 2008  25	0
03 14 2008  15	3
03 14 2008  35	0
03 28 2008  35	0
04 11 2008  40	0
04 12 2008  12	3
04 19 2008  20	3
04 25 2008  40	0
05 09 2008  70	0
05 16 2008  60	3
05 30 2008  30	0
06 13 2008  60	0
06 27 2008  40	0
07 11 2008  60	0
07 19 2008  20	3
07 25 2008  100	0
08 08 2008  65	0
08 22 2008  90	0
09 05 2008  45	0
09 19 2008  115	0
10 03 2008  10	3
10 03 2008  100	0
10 10 2008  85	0
10 24 2008  30	0
11 05 2008  60	0
11 14 2008  15	3
11 15 2008  15	3
11 21 2008  90	0
12 01 2008  80	3
12 05 2008  140	0
12 11 2008  20	3
01 16 2009  100	0
01 30 2009  240	0
02 13 2009  150	0
02 18 2009  40	3
02 27 2009  50	0
03 04 2009  300	3
03 06 2009  80	0
03 07 2009  50	3
03 20 2009  150	0
03 30 2009  28	3
04 03 2009  150	0
04 05 2009  350	3
04 17 2009  250	0
05 01 2009  70	0
05 15 2009  170	0
05 29 2009  55	0
05 31 2009  150	3
06 12 2009  110	0
06 23 2009  375	3
06 25 2009  150	3
06 26 2009  55	0
07 09 2009  15	3
07 10 2009  130	0
07 24 2009  90	0
07 25 2009  20	3
08 07 2009  50	3
08 14 2009  200	0
09 18 2009  125	0
09 25 2009  100	0
10 09 2009  175	0
10 23 2009  150	0
10 26 2009  100	3
10 29 2009  250	3
11 06 2009  200	0
11 15 2009  35	3
11 19 2009  30	3
11 20 2009  130	0
11 24 2009  70	3
12 04 2009  250	0
01 15 2010  30	3
01 21 2010  12	3
01 22 2010  140	0
02 05 2010  50  0
02 19 2010  100 0
02 20 2010  50  3
03 05 2010  60  0
03 26 2010  60  0
04 09 2010  65  0
04 21 2010  150 3
04 23 2010  100 0
05 07 2010  75  0
06 04 2010  65  3
06 18 2010  90  3
06 23 2010  15  3
07 02 2010  140 0
07 14 2010  40  3
07 16 2010  120 3
07 30 2010  87  0
08 03 2010  100 3
08 07 2010  40  3
08 13 2010  130 3
09 03 2010  140 0
09 17 2010  150 0
10 01 2010  100 0
10 02 2010  50  3
10 07 2010  30  3
10 13 2010  150 3
10 15 2010  120 0
10 29 2010  250 0
11 10 2010  100 3
11 12 2010  250 0
11 20 2010  17  3
12 03 2010  50  3
12 03 2010  350 0
12 17 2010  100 0
12 21 2010  300 3
01 14 2011  90  0
01 18 2011  15  3
01 28 2011  100 0
02 08 2011  100 3
02 11 2011  130 0
02 25 2011  70  0
03 05 2011  50  3
03 11 2011  120 0
03 25 2011  120 0
03 28 2011  120 3
04 08 2011  100 0
04 22 2011  120 0
04 29 2011  30  3
05 06 2011  25  3
05 27 2011  100 0
06 03 2011  130 0
06 10 2011  300 3
06 24 2011  45  0
07 08 2011  55  0
07 16 2011  20  3
07 22 2011  50  0
08 05 2011  75  0
08 19 2011  50  0
09 02 2011  110 0
09 30 2011  160 0
10 07 2011  250 0
10 08 2011  40  3
10 21 2011  160 0
11 04 2011  100 0
11 07 2011  200 3
11 18 2011  200 0
12 02 2011  160 0
12 16 2011  160 0
01 30 2012  16  3
02 03 2012  140 0
02 09 2012  14  3
02 10 2012  30  3
02 17 2012  200 0
02 27 2012  120 3
03 02 2012  100 0
03 16 2012  190 0
03 26 2012  25  3
03 30 2012  260 0
04 02 2012  20  3
04 13 2012  260 0
04 24 2012  20  3
04 26 2012  20  3
04 26 2012  310 0
04 28 2012  20  3
04 30 2012  150 3
05 10 2012  60  3
05 11 2012  250 0
06 01 2012  50  0
06 05 2012  1200 3
