# mo day year attendance code
# code: 0 = cloudy, 1 = clear, 2 = other
02 23 2007  100	1
02 27 2007  20	2
03 03 2007  200	1
03 24 2007  30	2
04 20 2007  40	1
05 07 2007  20	2
05 17 2007  20	2
05 24 2007  4	2
05 25 2007  8	2
06 22 2007  40	1
10 12 2007  40	1
10 19 2007  15	0
10 20 2007  100	2
10 30 2007  60	2
11 02 2007  25	0
11 08 2007  60	2
11 16 2007  30	1
11 30 2007  40	1
12 06 2007  10	2
12 13 2007  60	2
12 14 2007  30	0
01 18 2008  20	2
02 01 2008  16	0
02 15 2008  40	0
02 20 2008  400	2
02 29 2008  25	0
03 14 2008  15	2
03 14 2008  35	0
03 28 2008  35	0
04 11 2008  40	0
04 12 2008  12	2
04 19 2008  20	2
04 25 2008  40	0
05 09 2008  70	0
05 16 2008  60	2
05 30 2008  30	0
06 13 2008  60	1
06 27 2008  40	1
07 11 2008  60	1
07 19 2008  20	2
07 25 2008  100	1
08 08 2008  65	1
08 22 2008  90	1
09 05 2008  45	0
09 19 2008  115	1
10 03 2008  10	2
10 03 2008  100	1
10 10 2008  85	1
10 24 2008  30	0
11 05 2008  60	0
11 14 2008  15	2
11 15 2008  15	2
11 21 2008  90	1
12 01 2008  80	2
12 05 2008  140	1
12 11 2008  20	2
01 16 2009  100	1
01 30 2009  240	1
02 13 2009  150	1
02 18 2009  40	2
02 27 2009  50	0
03 04 2009  300	2
03 06 2009  80	1
03 07 2009  50	2
03 20 2009  150	1
03 30 2009  28	2
04 03 2009  150	0
04 05 2009  350	2
04 17 2009  250	1
05 01 2009  70	0
05 15 2009  170	1
05 29 2009  55	0
05 31 2009  150	2
06 12 2009  110	0
06 23 2009  375	2
06 25 2009  150	2
06 26 2009  55	0
07 09 2009  15	2
07 10 2009  130	1
07 24 2009  90	0
07 25 2009  20	2
08 07 2009  50	2
08 14 2009  200	1
09 18 2009  125	1
09 25 2009  100	1
10 09 2009  175	0
10 23 2009  150	0
10 26 2009  100	2
10 29 2009  250	2
11 06 2009  200	1
11 15 2009  35	2
11 19 2009  30	2
11 20 2009  130	1
11 24 2009  70	2
12 04 2009  250	0
01 15 2010  30	2
01 21 2010  12	2
01 22 2010  140	1
02 05 2010  50  0
02 19 2010  100 0
02 20 2010  50  2
03 05 2010  60  0
03 26 2010  60  1
04 09 2010  65  0
04 21 2010  150 2
04 23 2010  100 1
05 07 2010  75  1
06 04 2010  65  2
06 18 2010  90  2
06 23 2010  15  2
07 02 2010  140 1
07 14 2010  40  2
07 16 2010  120 2
07 30 2010  87  0
08 03 2010  100 2
08 07 2010  40  2
08 13 2010  130 2
09 03 2010  140 0
09 17 2010  150 1
10 01 2010  100 1
10 02 2010  50  2
10 07 2010  30  2
10 13 2010  150 2
10 15 2010  120 0
10 29 2010  250 1
11 10 2010  100 2
11 12 2010  250 1
11 20 2010  17  2
12 03 2010  50  2
12 03 2010  350 1
12 17 2010  100 1
12 21 2010  300 2
01 14 2011  90  1
01 18 2011  15  2
01 28 2011  100 0
02 08 2011  100 2
02 11 2011  130 0
02 25 2011  70  0
03 05 2011  50  2
03 11 2011  120 0
03 25 2011  120 1
03 28 2011  120 2
04 08 2011  100 0
04 22 2011  120 0
04 29 2011  30  2
05 06 2011  25  2
05 27 2011  100 1
06 03 2011  130 0
06 10 2011  300 2
06 24 2011  45  0
07 08 2011  55  0
07 16 2011  20  2
07 22 2011  50  1
08 05 2011  75  1
08 19 2011  50  0
09 02 2011  110 1
09 30 2011  160 0
10 07 2011  250 1
10 08 2011  40  2
